"Scus94491BpeSegment::scriptSetIndicatorsDisabled","Forces disabling/enabling of indicators during scripted movement (not during normal play)"
"Battle::scriptSetModelPartVisibility","Changes the visibility of a battle entity's model part"
"Battle::scriptCopyVram","Copies a block of vram from one position to another"
"Battle::scriptLoadGlobalAsset","Loads a global asset"
"Battle::scriptWaitGlobalAssetAllocation","Waits until global asset is allocated"
"Battle::scriptDeallocateGlobalAsset","Deallocates a global asset"
"Battle::scriptAddCombatant","Adds a combatant to the battle"
"Battle::scriptDeallocateAndRemoveCombatant","Deallocates and removes a combatant from the battle"
"Battle::FUN_800cda78","Unknown, related to asset loading"
"Battle::scriptAllocateBent","Allocate a battle entity child of this script"
"Battle::scriptLoadModelToCombatantFromGlobalAssets","Sets global asset index of a model for combatant"
"Battle::FUN_800cd7a8","Unknown, related to combatants"
"Battle::scriptLoadAnimToCombatantFromGlobalAssetsOrDeallocate","Loads animation from global assets into combatant assets or deallocates an animation from combatant"
"Battle::scriptLoadTextureToCombatantFromGlobalAssets","Loads a texture from global assets to combatant"
"Battle::scriptGetBentNobj","Gets the number of parts in a battle entity's model"
"Battle::scriptDeallocateCombatant","Deallocates a battle entity's combatant"
"Battle::scriptStopRenderingStage","Stops rendering the battle stage and skybox"
"Battle::scriptLoadStage","Loads a new battle stage"
"Battle::FUN_800cd910","Unknown, loads files"
"Battle::scriptGetCombatantIndex","Gets the combatant index for a battle entity"
"Battle::scriptGetBentSlot","Gets the battle entity slot or char slot for a battle entity"
"Battle::scriptDisableCombat","Clears combat scripts and sets the combat disabled flag"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Battle::scriptLoadDragoonDeffSync","Waits for any currently-loading DEFFs to finish loading, loads a DEFF, and waits for it to finish loading"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Battle::scriptResetLights","Resets battle lighting"
"Battle::scriptSetLightDirection","Sets the battle light direction"
"Battle::scriptGetLightDirection","Gets the battle light direction"
"Battle::FUN_800e48a8","Unknown, sets the battle light direction using the vector (0, 0, 1) rotated by ZYX"
"Battle::FUN_800e48e8","Unknown, gets the battle light direction using the vector (0, 0, 1) rotated by ZYX"
"Battle::FUN_800e4964","Unknown, sets the battle light direction"
"Battle::FUN_800e4abc","Unknown, gets the battle light direction"
"Battle::scriptSetBattleLightColour","Sets the battle light colour"
"Battle::scriptGetBattleLightColour","Sets the battle light colour"
"Battle::scriptSetBattleBackgroundLightColour","Sets the battle light background colour"
"Battle::scriptGetBattleBackgroundLightColour","Sets the battle light background colour"
"Battle::FUN_800e4dfc","Unknown, related to battle lights"
"Battle::FUN_800e4e2c","Unknown, related to battle lights"
"Battle::FUN_800e4e64","Unknown, related to battle lights"
"Battle::FUN_800e4ea0","Unknown, must change battle light over time"
"Battle::FUN_800e4fa0","Unknown, must change battle light over time"
"Battle::FUN_800e50e8","Unknown, must change battle light over time"
"Battle::FUN_800e52f8","Unknown, related to battle lights"
"Battle::FUN_800e540c","Unknown, related to battle lights"
"Battle::FUN_800e54f8","Unknown, related to battle lights"
"Battle::FUN_800e5528","Unknown, related to battle lights"
"Battle::FUN_800e5560","Unknown, related to battle lights"
"Battle::FUN_800e559c","Unknown, related to battle lights"
"Battle::FUN_800e569c","Unknown, related to battle lights"
"Battle::scriptApplyStageAmbiance","Applies the current battle stage's ambiance (including Dragoon Space)"
"Battle::FUN_800e59d8","Unknown, sets or applies stage ambiance"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Battle::scriptCheckPhysicalHit","Checks if a battle entity's physical attack hits another battle entity"
"Battle::scriptPhysicalAttack","Perform a battle entity's physical attack against another battle entity"
"Battle::scriptGetBentPos2","Gets a battle entity's position"
"Battle::scriptAddFloatingNumber","Adds a floating number"
"Battle::scriptCheckPhysicalHit","Checks if a battle entity's physical attack hits another battle entity"
"Battle::scriptCheckPhysicalHit","Checks if a battle entity's physical attack hits another battle entity"
"Battle::scriptCheckPhysicalHit","Checks if a battle entity's physical attack hits another battle entity"
"Battle::scriptGiveSp","Gives SP to a battle entity"
"Battle::scriptConsumeSp","Consumes SP from a battle entity"
"Battle::scriptInitSpellAndItemMenu","Initialized the battle menu for a battle entity"
"Battle::scriptGetItemOrSpellTargetingInfo","Unknown, this might handle players selecting an attack target"
"Battle::scriptGetItemOrSpellAttackTarget","Gets the item/spell attack target"
"Battle::scriptDragoonMagicStatusItemAttack","Perform a battle entity's magic or status attack against another battle entity"
"Battle::scriptSetTempSpellStats","Caches selected spell's stats on a battle entity"
"Battle::scriptRenderRecover","Render recovery amount for a battle entity"
"Battle::scriptItemMagicAttack","Perform a battle entity's item attack against another battle entity"
"Battle::scriptSetTempItemMagicStats","Caches selected spell's stats on a battle entity"
"Battle::scriptTakeItem","Takes a specific (or random) item from the player"
"Battle::scriptGiveItem","Gives a specific item to the player"
"Battle::scriptSetHudTargetBobj","Sets the current target in the battle HUD"
"Battle::scriptIsFloatingNumberOnScreen","Checks if any floating number is on the screen"
"Battle::scriptSetDragoonSpaceElementIndex","Sets the active dragoon space element"
"Battle::FUN_800f9b94","Unknown, related to menu"
"Battle::FUN_800f9bd4","Unknown, related to menu"
"Battle::FUN_800f9c00","Unknown, related to menu"
"Battle::scriptRenderBattleHudBackground","Renders the battle HUD background"
"Battle::scriptSetDisabledMenuIcons","Unknown, disables menu icons if certain flags are set"
"Battle::scriptCheckSpellOrStatusHit","Checks if a battle entity's spell or status attack hits another battle entity"
"Battle::scriptCheckItemHit","Checks if a battle entity's item magic attack hits another battle entity"
"Battle::scriptFinishBentTurn","Called after any battle entity finishes its turn, ticks temporary stats and calls turnFinished on custom battle entities"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Battle::scriptSetBentZOffset","Sets a battle entity's Z offset"
"Battle::scriptSetBentScaleUniform","Sets a battle entity's scale uniformly"
"Battle::scriptSetBentScale","Sets a battle entity's scale"
"Battle::scriptAttachShadowToBottomOfBentModel","Attaches a shadow to the bottom of a bent's model"
"Battle::scriptDisableBentShadow","Disables a battle entity's shadow"
"Battle::scriptSetBentShadowSize","Sets a battle entity's shadow size"
"Battle::scriptSetBentShadowOffset","Sets a battle entity's shadow offset"
"Battle::scriptApplyScreenDarkening","Darkens the combat stage (for things like counter-attacks, certain dragoon transformations, etc.)"
"Battle::scriptAttachShadowToBottomOfBentModel","Attaches a shadow to the bottom of a bent's model"
"Battle::scriptGetStageNobj","Gets the number of model parts in the battle stage's model"
"Battle::scriptShowStageModelPart","Shows the battle stage's model part"
"Battle::scriptHideStageModelPart","Hides the battle stage's model part"
"Battle::scriptAttachShadowToBentModelPart","Attaches a shadow to a bent's model part"
"Battle::scriptUpdateBentShadowType","Updates a bent's shadow type based on its modelPartWithShadowIndex_cd"
"Battle::scriptSetStageZ","Sets the battle stage model's Z offset"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"SEffe::scriptGetRelativePosition","Calculates the relative offset from one battle object to its parent (or just returns the first object's position if the parent is -1)"
"SEffe::scriptSetRelativePosition","Translates a battle object relative to its parent, if one is specified"
"SEffe::scriptGetRotationDifference","Calculates the relative rotation between two battle objects (or just returns the first object's rotation if the second is -1)"
"SEffe::scriptSetRelativeRotation","Sets the relative rotation between two battle objects (or from the origin if the second is -1)"
"SEffe::scriptGetScaleRatio","Calculates the scale ratio between two battle objects (or just returns the first object's rotation if the second is -1)"
"SEffe::scriptSetRelativeScale","Sets the relative scale between two battle objects (or from the origin if the second is -1)"
"SEffe::scriptGetColourDifference","Calculates the relative colour between two battle objects (or just returns the first object's colour if the second is -1)"
"SEffe::scriptSetRelativeColour","Sets the relative colour between two battle objects (or just sets the colour if the second is -1)"
"SEffe::scriptGetGenericEffectValue","Gets one of the generic values of an EffectManager6c"
"SEffe::scriptSetGenericEffectValue","Sets one of the generic values of an EffectManager6c"
"SEffe::scriptTransformBobjPositionToScreenSpace","Transforms a battle object's position from world space to screen space"
"SEffe::scriptRemoveEffectAttachment","Removes an attachment from an effect"
"SEffe::scriptHasEffectAttachment","Checks if an effect has a specific attachment"
"SEffe::scriptWaitForPositionScalerToFinish","If an effect has a position scaler, pause and rewind; otherwise, continue"
"SEffe::scriptAddPositionScalerAttachment","Adds a position scaler attachment to an effect (relative to a battle object if specified)"
"SEffe::scriptAddRelativePositionScalerTicks0","(Note: uses movement mode 0, meaning not fully understood) Adds a position scaler to an effect (relative to a parent, if provided)"
"SEffe::scriptAddRelativePositionScalerDistance0","(Note: uses movement mode 0, meaning not fully understood) Adds a position scaler to an effect (relative to a parent, if provided)"
"SEffe::scriptAddPositionScalerMoveToParent","Adds a position scaler to an effect to move it to its parent battle object"
"SEffe::FUN_801155f8","No-op"
"SEffe::scriptGetRelativeAngleBetweenBobjs","(Note: uses movement mode 0, meaning not fully understood) Adds a position scaler to an effect (relative to a parent, if provided)"
"SEffe::scriptRotateBobjTowardsPoint","Rotates a battle object towards a point (relative to a parent, if provided)"
"SEffe::scriptSetEffectApplyRotationAndScaleFlag","Sets or unsets an effect's apply rotation and scale flag flag (0x400_0000, bit 26)"
"SEffe::scriptGetEffectTranslationRelativeToParent","Calculates the relative offset from one effect to its parent (or just returns the first effect's position if the parent is -1)"
"SEffe::scriptAddRotationScalerAttachment","Adds a rotation scaler attachment to an effect"
"SEffe::scriptAddRotationScalerAttachmentTicks","Adds a rotation scaler attachment to an effect (relative to a parent battle object if one is specified)"
"SEffe::scriptAddRotationScalerAttachmentDistance","Adds a rotation scaler attachment to an effect (relative to a parent battle object if one is specified)"
"SEffe::scriptAddRotationScalerAttachmentTowardsPointTicks","Adds a rotation scaler attachment towards a point to an effect (relative to a parent battle object if one is specified)"
"SEffe::scriptAddRotationScalerAttachmentTowardsPointDistance","Adds a rotation scaler attachment towards a point to an effect (relative to a parent battle object if one is specified)"
"SEffe::FUN_80115600","No-op"
"Battle::scriptAllocateClonedModelEffect","Allocates an effect manager for a cloned model"
"SEffe::scriptLoadEffectModelAnimation","Loads a new animation into an effect"
"SEffe::scriptAddScaleScalerAttachment","Adds a scale scaler attachment towards a point to an effect (relative to a parent battle object if one is specified)"
"SEffe::scriptAddScaleScalerMultiplicativeAttachmentTicks","Adds a multiplicative scale scaler attachment to an effect (relative to a parent battle object if one is specified)"
"SEffe::scriptAddScaleScalerMultiplicativeAttachmentDistance","Adds a multiplicative scale scaler attachment to an effect (relative to a parent battle object if one is specified)"
"SEffe::scriptSetScriptScript","Replaces an existing script state's script"
"SEffe::scriptAddScaleScalerDifferenceAttachmentTicks","Adds a difference scale scaler attachment to an effect (relative to a parent battle object if one is specified)"
"SEffe::scriptAddColourScalerAttachment","Adds a colour scaler attachment to an effect (lasts until removed)"
"SEffe::scriptAddConstantColourScalerAttachment","Adds a colour scaler attachment to an effect (relative to a parent if one is specified)"
"SEffe::scriptAddConstantColourScalerDistance","Adds a colour scaler attachment to an effect (relative to a parent if one is specified)"
"SEffe::scriptRemoveGenericEffectAttachment","Removes a generic attachment from an effect"
"SEffe::FUN_80114f34","No-op"
"SEffe::scriptAddGenericAttachment","Adds a generic attachment to an effect"
"SEffe::scriptAddGenericAttachmentTicks","Adds a generic attachment to an effect that increments at a fixed rate"
"SEffe::scriptAddGenericAttachmentSpeed","Adds a generic attachment to an effect that increments at a fixed rate"
"SEffe::scriptAddLifespanAttachment","Adds a lifespan attachment to an effect that deallocates the effect after a certain number of ticks"
"SEffe::scriptSetEffectErrorFlag","Sets or unsets an effect manager's error flag (0x8000_0000, bit 31)"
"SEffe::scriptSetEffectTranslucencySourceFlag","Sets or unsets an effect manager's translucency source flag (0x4000_0000, bit 30)"
"SEffe::scriptSetEffectTranslucencyModeFlag","Clears an effect's translucency flags (0x3000_0000, bits 28-29) and then sets or unsets flags 0x3000_0000 (bit 28-29)"
"Battle::scriptGetDeffBentParams","Returns deff's calling bent index and target param"
"SEffe::scriptGetPositionScalerAttachmentVelocity","Gets the position scaler attachment velocity"
"Battle::scriptAddOrUpdateTextureAnimationAttachment","Adds or updates a texture animation attachment to an effect"
"SEffe::scriptSetEffectLightingDisableFlag","Sets or unsets an effect's lighting disable flag (0x40, bit 6)"
"SEffe::scriptAddRelativePositionScalerDistance1","(Note: uses movement mode 1, meaning not fully understood) Adds a position scaler to an effect (relative to a parent, if provided)"
"SEffe::scriptAddRelativePositionScalerTicks1","(Note: uses movement mode 1, meaning not fully understood) Adds a position scaler to an effect (relative to a parent, if provided)"
"SEffe::scriptAddOrUpdatePositionScalerAttachment","Adds or updates a position scaler attachment to an effect (relative to a battle object if specified)"
"SEffe::scriptUpdateParabolicPositionScalerAttachment","Updates a position scaler attachment for parabolic arcs"
"Battle::scriptAllocateEmptyEffectManagerChild","Allocates an empty effect manager"
"Battle::allocateBillboardSpriteEffect","Allocates a new billboard sprite effect manager"
"Battle::FUN_800e9854","Allocates an unknown model effect (used in Miranda transformation)"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"SEffe::scriptAllocateLmbAnimation","Allocates an LMB animation"
"SEffe::allocateDeffTmd","Allocates a DEFF TMD effect manager"
"Battle::FUN_800e99bc","Allocates an unknown model effect manager (used in Miranda transformation)"
"SEffe::scriptSetLmbDeffFlag","Set a flag at the given index in the LmbAnimationEffect5c deffFlags array"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Battle::scriptLoadCmbAnimation","Loads a CMB animation"
"SEffe::scriptAttachEffectToBobj","Attaches an effect to a bobj (effect's transforms are not updated so it will jump to a new position relative to its parent)"
"Battle::scriptHideEffectModelPart","Hides an effect's model part"
"Battle::scriptShowEffectModelPart","Shows an effect's model part"
"Battle::scriptAddRedEyeDragoonTransformationFlameArmorEffectAttachment","Attached the red eye dragoon transformation flame armour effect to an effect manager"
"Battle::scriptApplyTextureAnimationAttachment","Applies a texture animation attachment update"
"Battle::scriptRemoveTextureAnimationAttachment","Removes a texture animation attachment"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"SEffe::scriptLoadSameScriptAndJump","Loads this script into another script state and jumps to a script address"
"SEffe::allocateShirleyTransformWipeEffect","Allocates a new wipe effect (used by Shirley when she transforms)"
"SEffe::FUN_80111a58","Unknown, returns a position"
"Battle::scriptGetEffectLoopCount","Gets the number of times an effect's animation has looped"
"SEffe::allocateSpriteWithTrailEffect","Allocates a sprite with a trail effect"
"Battle::scriptLoadDeff","Allocates a DEFF and effect manager child"
"Battle::scriptTickDeffLoadingStage","Ticks the DEFF loader for DEFFs that are not set up to tick themselves. May pause and rewind if the DEFF is not yet ready for that stage."
"Battle::scriptGetDeffLoadingStage","Gets the current DEFF loading stage"
"SEffe::scriptGetEffectZ","Gets an effect manager's Z value"
"SEffe::scriptSetEffectZ","Sets an effect manager's Z value"
"SEffe::allocateDeffTmdRenderer","Allocates a DEFF TMD renderer effect manager"
"SEffe::scriptAttackEffectToBobjRelative","Attaches an effect to a bobj and relativizes its transforms (effect will be in the same position it was, but is now attached)"
"SEffe::scriptGetEffectRotation","Gets an effect's rotation"
"SEffe::scriptSetLmbManagerTransformMetrics","Sets metric used for sub-steps and manager transforms during secondary LMB processing"
"SEffe::scriptAllocateBuggedEffect","A bugged effect, do not use"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"SEffe::scriptWaitForXaToLoad","Waits for the currently-loading XA audio to load (no-op in SC)"
"SEffe::scriptGetXaLoadingStage","Gets the current XA loading stage (probably doesn't work in SC)"
"SEffe::scriptPlayXaAudio","Plays an XA sound"
"Battle::scriptLoadCutsceneDeff","Allocates a DEFF and effect manager child for a cutscene"
"Battle::scriptLoadSpellOrItemDeff","Allocates a DEFF and effect manager child for a spell or item"
"Battle::scriptLoadEnemyOrBossDeff","Allocates a DEFF and effect manager child for an enemy or boss"
"SEffe::scriptConvertRotationYxzToXyz","Converts a YXZ rotation to a XYZ rotation"
"SEffe::scriptResetDeffManager","Resets the DEFF manager"
"SEffe::FUN_8011287c","Unknown"
"Battle::scriptSetModelShadow","Sets the shadow for a BattleObject with a models"
"Battle::scriptSetBttlShadowSize","Sets the shadow size for a battle object"
"Battle::scriptSetBttlShadowOffset","Sets the shadow offset for a battle object"
"SEffe::scriptAllocateShadowEffect","Allocates a shadow effect"
"SEffe::scriptUpdateDeffManagerFlags","Updates the DEFF manager flags"
"SEffe::scriptLoadDeffStageEffects","Loads DEFF effects for the current battle stage"
"SEffe::scriptGetEffectTextureMetrics","Gets the texture metrics for various effect types"
"SEffe::scriptSetEffectNormalizeLightMatrixFlag","Sets or unsets an effect's normalize light matrix flag (0x8, bit 3)"
"SEffe::scriptConsolidateEffectMemory","Unused in SC"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
